시군구,지정년도,지정번호,신청일자,지정일자,업소명,소재지지번,허가(신고)번호,업태명,주된음식,영업장면적(제곱미터),행정동명,급수시설구분,소재지전화번호
강남구,2021,1,2010-07-30,2021-11-16,대청가든,서울특별시 강남구 개포동 13-3 미씨860오피스텔1층122호 ,19990106199,한식,한우,220.16,일원2동,상수도전용,  02-3413-5566
강남구,2021,2,2010-02-10,2021-11-16,원조닭칼국수,서울특별시 강남구 개포동 1193-7 지상1층 ,20050107548,분식,분식,86,개포4동,상수도전용,  02-3461-4424
강남구,2021,3,2014-10-06,2021-11-16,원조본점닭한마리,서울특별시 강남구 개포동 1193-7 ,19990106791,한식,닭,106.22,개포4동,상수도전용,  02-3461-4422
강남구,2021,4,2010-02-10,2021-11-16,논골집,서울특별시 강남구 개포동 1197 지상1층 ,20020106408,한식,한식,148.5,개포4동,상수도전용,  02-3461-7071
강남구,2021,5,2016-11-25,2021-11-16,흙향,서울특별시 강남구 개포동 1197-2 지상2층 ,20130105703,한식,한정식,572.8,개포4동,상수도전용,  02-3495-0092
강남구,2021,6,2014-10-06,2021-11-16,리엔,"서울특별시 강남구 개포동 1214-1,8 지상1층 ",20000105230,중국식,자장면,202,개포4동,상수도전용,  02- 576-4888
강남구,2021,7,2016-11-25,2021-11-16,밀란,서울특별시 강남구 개포동 1215-0 지상1층101호 ,20040107931,한식,면류,128.76,개포4동,상수도전용,  02- 507-1080
강남구,2021,8,2010-02-10,2021-11-16,황금돼지,서울특별시 강남구 개포동 1216-10 ,19930106075,한식,구이,114.33,개포1동,상수도전용,  02- 577-6667
강남구,2021,9,2014-10-06,2021-11-16,원조소금구이,서울특별시 강남구 개포동 1218-3 광림빌딩 1층 ,20130107452,한식,소금구이,215.6,개포1동,상수도전용,
강남구,2021,10,2014-10-06,2021-11-16,춘천명물닭갈비,서울특별시 강남구 개포동 1231-6 ,20060105651,한식,닭갈비,141,개포4동,상수도전용,
강남구,2021,11,2017-10-10,2021-11-16,금홍짬뽕,서울특별시 강남구 논현동 10-5 ,19920106166,중국식,중국음식,109.78,논현1동,상수도전용,
강남구,2021,12,2010-02-10,2021-11-16,김수사,서울특별시 강남구 논현동 4-19 ,19860105442,일식,일식,107.83,논현1동,상수도전용,  02-0547-5221
강남구,2021,13,2010-02-10,2021-11-16,신사뻘낙지,서울특별시 강남구 논현동 4-7 지상1층 ,20010107501,한식,낙지,125.62,논현1동,상수도전용,  02-3448-3392
강남구,2021,14,2010-02-10,2021-11-16,한성국수,서울특별시 강남구 논현동 62-13 ,19850105219,분식,칼국수,119.54,논현2동,상수도전용,  02-0544-0540
강남구,2021,15,2016-11-25,2021-11-16,봉산집,서울특별시 강남구 논현동 62-3 지상1층 ,20090107201,일식,차돌박이된장찌개,400.67,논현2동,상수도전용,
강남구,2021,16,2010-02-10,2021-11-16,마포숯불갈비,서울특별시 강남구 논현동 62-6 ,19980107219,한식,돼지갈비,347.15,논현2동,상수도전용,  02- 516-1522
강남구,2021,17,2010-02-10,2021-11-16,불이아,서울특별시 강남구 논현동 71-2 건설회관지하1층 ,20050106129,중국식,훠궈,393.36,논현2동,상수도전용,  02 -517 -6689
강남구,2021,18,2016-11-25,2021-11-16,음악살롱,서울특별시 강남구 논현동 88-5 ,20160106327,경양식,스파게티,247.79,논현1동,상수도전용,
강남구,2021,19,2019-09-30,2021-11-16,논현감자탕,서울특별시 강남구 논현동 90-6 ,20170105566,한식,한식,271.88,논현1동,상수도전용,
강남구,2021,20,2010-02-10,2021-11-16,한우리외식산업(주),서울특별시 강남구 논현동 91-18 ,19840105376,한식,한식,"1,729.10",논현2동,상수도전용,  02- 545-3336
강남구,2021,21,2014-10-03,2021-11-16,한서외식산업(주),"서울특별시 강남구 논현동 91-4 지하1층,지상3,4,5층 ",19940106911,한식,한정식,"1,552.07",논현2동,상수도전용,  02-0545-3334
강남구,2021,22,2018-10-01,2021-11-16,배정철 어도,서울특별시 강남구 논현동 98-12 ,19940105971,일식,일식,199.91,논현1동,상수도전용,
강남구,2021,23,2010-02-10,2021-11-16,제주서부두식당,서울특별시 강남구 논현동 115-25 ,19940106361,한식,"갈시,고등어구이",189.04,논현2동,상수도전용,  02-3446-6962
강남구,2021,24,2016-11-25,2021-11-16,차숙이 갈비,서울특별시 강남구 논현동 121 ,20110105426,한식,삼겹살,134.3,논현1동,상수도전용,  02-548 -9757
강남구,2021,25,2015-11-06,2021-11-16,주식회사 원강,서울특별시 강남구 논현동 122-18 1층 ,20110107428,한식,소고기 등심 구이,141,논현1동,상수도전용,  02-3445-1598
강남구,2021,26,2018-10-01,2021-11-16,마장동박현규(주) 1호점,서울특별시 강남구 논현동 122-25 새호시티라이프빌딩 ,20170108497,한식,한식,174.12,논현1동,상수도전용,
강남구,2021,27,2017-10-10,2021-11-16,두릉도원 북촌순두부,서울특별시 강남구 논현동 122-8 동화히스토리 1층 ,20140107128,한식,"순두부, 보쌈",129,논현1동,상수도전용,  02-565 -2792
강남구,2021,28,2018-10-01,2021-11-16,유장원보쌈,"서울특별시 강남구 논현동 129-4 지상1,2층 ",19930106590,한식,한식,255.23,논현1동,상수도전용,  02-0516-5625
강남구,2021,29,2017-10-10,2021-11-16,김태준의 탕탕집,서울특별시 강남구 논현동 141-15 ,20160105915,한식,설렁탕,162.38,논현1동,상수도전용,  02-511-3235
강남구,2021,30,2018-10-01,2021-11-16,토담김치찌개,서울특별시 강남구 논현동 141-16 ,20170108582,한식,한식,137.74,논현1동,상수도전용,
강남구,2021,31,2010-02-10,2021-11-16,취영루,서울특별시 강남구 논현동 141-2 ,19970105580,중국식,만두,711.64,논현1동,상수도전용,  02- 511-6666
강남구,2021,32,2014-10-06,2021-11-16,육갑식당,서울특별시 강남구 논현동 141-7 세일빌딩 1층 102호 ,20110106686,한식,고기구이,42.34,논현1동,상수도전용,  02- 514 -5837
강남구,2021,33,2016-11-25,2021-11-16,해랑,서울특별시 강남구 논현동 183-0 지하1층 ,20080106109,한식,해물탕,427.14,논현1동,상수도전용,  02- 544-7270
강남구,2021,34,2010-02-10,2021-11-16,남서울민물장어,서울특별시 강남구 논현동 204-3 ,19860105292,한식,장어구이,124.84,논현1동,상수도전용,  02- 544-1010
강남구,2021,35,2010-02-10,2021-11-16,토담골,서울특별시 강남구 논현동 236-4 태양빌딩 ,19960105809,한식,한정식,425.16,논현1동,상수도전용,  02- 548-5121
강남구,2021,36,2015-11-06,2021-11-16,단스시(논현점),서울특별시 강남구 논현동 238-0 지상2층 ,20070105483,일식,초밥,349.52,논현2동,상수도전용,  02-3445-1114
강남구,2021,37,2010-02-10,2021-11-16,델마르,서울특별시 강남구 논현동 248-7 지상1층 ,20050107903,경양식,음료 및 차,223.21,논현2동,상수도전용,  02-3440-8233
강남구,2021,38,2010-02-10,2021-11-16,훼밀리아,서울특별시 강남구 논현동 248-7 ,19890105631,뷔페식,한중일식,967.21,논현1동,상수도전용,  02- 511-4000
강남구,2021,39,2016-11-25,2021-11-16,크래버대게나라,서울특별시 강남구 논현동 261 지상1층 1호,20130106841,한식,대게,443.73,논현1동,상수도전용,
강남구,2021,40,2014-10-06,2021-11-16,(주)아리양,서울특별시 강남구 논현동 277-20 지상1층 ,20110107157,한식,양대창,312,논현1동,상수도전용,
강남구,2021,41,2010-07-30,2021-11-16,명동관,"서울특별시 강남구 대치동 500-0 센트럴500지하1층103,104호 ",19960105694,한식,한식,216.91,대치1동,상수도전용,  02- 563-8882
강남구,2021,42,2010-02-10,2021-11-16,씨제이푸드빌(주)빕스도곡역점,서울특별시 강남구 대치동 500-0 센트럴500상가지하1층 ,20020107402,경양식,스테이크,"1,100.62",대치1동,상수도전용,  02- 569-1997
강남구,2021,43,2010-02-10,2021-11-16,엠브이샤브샤브,"서울특별시 강남구 대치동 507-0 원플러스상가지하1층105,106호 ",20030107933,한식,샤브샤브,290.09,대치1동,상수도전용,  02- 561-7573
강남구,2021,44,2014-10-06,2021-11-16,대치골정육점식당. 풍천민물장어,서울특별시 강남구 대치동 623 남서울상가 2층 ,20110105282,한식,돼지고기,376,대치1동,상수도전용,
강남구,2021,45,2010-02-10,2021-11-16,마산아구찜,서울특별시 강남구 대치동 628-0 지상2층 ,20010107741,한식,한식,148.5,대치1동,상수도전용,  02- 556-2945
강남구,2021,46,2010-02-10,2021-11-16,(유)아웃백스테이크하우스코리아 도곡점,서울특별시 강남구 대치동 651-0 지하1층 ,20040108030,경양식,스테이크,763.65,대치1동,상수도전용,  02-3019-7112
강남구,2021,47,2010-02-10,2021-11-16,삼다도,서울특별시 강남구 대치동 890-49 ,19950106102,일식,일식,279.95,대치1동,상수도전용,  02- 508-3390
강남구,2021,48,2018-10-01,2021-11-16,나무(대치점),서울특별시 강남구 대치동 890-45 ,19920105063,한식,한식,360.48,대치4동,상수도전용,
강남구,2021,49,2010-02-10,2021-11-16,하동관 강남분점,서울특별시 강남구 대치동 891-44 지상2층 ,20070106116,한식,곰탕,334.22,대치4동,상수도전용,  02- 565-3355
강남구,2021,50,2017-10-10,2021-11-16,의령전원 투,서울특별시 강남구 대치동 891-51 지상2층 ,20060105996,일식,생선구이,198.34,대치4동,상수도전용,
강남구,2021,51,2010-02-10,2021-11-16,반룡산,서울특별시 강남구 대치동 894-4 지상1층 ,20040107641,경양식,냉면,216.38,대치4동,상수도전용,
강남구,2021,52,2014-10-06,2021-11-16,진대감,서울특별시 강남구 대치동 895-11 지상1층 ,20090106048,한식,차돌삼합,164.48,대치4동,상수도전용,
강남구,2021,53,2014-10-06,2021-11-16,청자골,서울특별시 강남구 대치동 901-71 지상1층 ,20030105850,한식,꽃등심,142.14,대치4동,상수도전용,
강남구,2021,54,2010-02-10,2021-11-16,남산희래등,서울특별시 강남구 대치동 903-3 ,19910105502,중국식,탕수육,272.94,대치4동,상수도전용,  02- 562-5296
강남구,2021,55,2016-11-25,2021-11-16,강남수랏간,서울특별시 강남구 대치동 908-5 지상1층2층 ,20020106365,한식,돼지갈비,349.92,대치4동,상수도전용,  02- 567-5123
강남구,2021,56,2010-02-10,2021-11-16,최가네버섯매운탕칼국수,서울특별시 강남구 대치동 936-16 ,19970105081,일식,샤브샤브,216.18,대치4동,상수도전용,  02- 538-2323
강남구,2021,57,2010-02-10,2021-11-16,창포,서울특별시 강남구 대치동 936-18 ,19930107286,한식,손만두,150.3,대치4동,상수도전용,  02- 501-0155
강남구,2021,58,2014-10-06,2021-11-16,용수사,서울특별시 강남구 대치동 942-5 지상2층 ,20100106459,일식,회,297.75,대치2동,상수도전용,  02-567 -1516
강남구,2021,59,2010-02-10,2021-11-16,놀부보쌈과 부대찌게 삼성1호,서울특별시 강남구 대치동 947-1 ,19960106349,한식,보쌈,116.52,대치2동,상수도전용,  02- 557-3848
강남구,2021,60,2016-11-25,2021-11-16,하이보,서울특별시 강남구 대치동 950-1 지상2층 ,20150107030,중국식,동파육,559.86,대치1동,상수도전용,
강남구,2021,61,2010-02-10,2021-11-16,대한민국,서울특별시 강남구 대치동 950-2 ,19960106077,한식,갈비탕,573.44,대치1동,상수도전용,  02- 561-6320
강남구,2021,62,2010-02-10,2021-11-16,군산회집,"서울특별시 강남구 대치동 968-2 지상1,2층 ",19920105566,일식,회,320.66,대치2동,상수도전용,  02-0557-1843
강남구,2021,63,2010-02-10,2021-11-16,더라운지,"서울특별시 강남구 대치동 995-14 지상22,23층 ",20050105662,경양식,갈비 등,240.35,대치2동,상수도전용,  02- 501-5487
강남구,2021,64,2010-02-10,2021-11-16,코너스톤,서울특별시 강남구 대치동 995-14 지상1층 ,20050105616,경양식,파스타,654.25,대치2동,상수도전용,  02- 501-5487
강남구,2021,65,2010-02-10,2021-11-16,더팀버하우스,서울특별시 강남구 대치동 995-14 지하2층 ,20050105661,경양식,스시,369.61,대치2동,상수도전용,  02- 501-5487
강남구,2021,66,2010-02-10,2021-11-16,김셰프의 도시어부,서울특별시 강남구 대치동 996-0 ,19940106528,일식,생선회,159.5,대치2동,상수도전용,  02-0564-3377
강남구,2021,67,2010-07-30,2021-11-16,임고집 한우＆보쌈마을,서울특별시 강남구 대치동 996-12 지상1층 ,20090106626,한식,고기,374.33,대치2동,상수도전용,
강남구,2021,68,2014-10-06,2021-11-16,임고집 한우＆보쌈마을(2호점),서울특별시 강남구 대치동 996-12 2층 ,20090106625,한식,고기,379.84,대치2동,상수도전용,  02-567-2772
강남구,2021,69,2016-11-20,2021-11-16,(주)중앙해장,서울특별시 강남구 대치동 996-16 ,20160105230,한식,해장국,595,대치1동,상수도전용,
강남구,2021,70,2014-10-06,2021-11-16,거제지심도,서울특별시 강남구 대치동 997-9 삼호빌딩지상1층 ,20050107102,일식,회,165.29,대치2동,상수도전용,
강남구,2021,71,2014-10-06,2021-11-16,홍영재 장수 청국장,서울특별시 강남구 대치동 1001 지상1층 ,20130105951,한식,청국장,398.68,대치2동,상수도전용,
강남구,2021,72,2010-02-10,2021-11-16,등대,서울특별시 강남구 대치동 1006-0 지상1층 ,20030105026,한식,복요리,148.76,대치2동,상수도전용,  02- 562-0505
강남구,2021,73,2014-10-06,2021-11-16,방이샤브칼국수,서울특별시 강남구 대치동 1019-12 ,19990107615,분식,칼국수,72.09,대치4동,상수도전용,
강남구,2021,74,2010-07-30,2021-11-16,(주)아구본가첨벙대치,서울특별시 강남구 대치동 1023-3 지상2층 ,20090106584,한식,아구찜,309.8,대치1동,상수도전용,  02-538 -0104
강남구,2021,75,2014-10-06,2021-11-16,진가샤브샤브,서울특별시 강남구 대치동 1023-3 지상4층 ,20130107687,한식,샤브샤브,293.09,대치1동,상수도전용,
강남구,2021,76,2017-10-10,2021-11-16,한티옥,서울특별시 강남구 대치동 1024-4 강원빌딩 지상1층 ,20100106336,한식,한식,405.33,대치1동,상수도전용,  02-552 -5289
강남구,2021,77,2016-11-25,2021-11-16,청국장과보리밥,서울특별시 강남구 도곡동 411-20 지상2층 ,20010106076,한식,청국장과 보리밥,181.82,도곡2동,상수도전용,
강남구,2021,78,2010-02-10,2021-11-16,사리원,서울특별시 강남구 도곡동 411-5 ,19930107180,한식,불고기,319.3,도곡2동,상수도전용,  02-0573-2202
강남구,2021,79,2016-11-25,2021-11-16,평양면옥,서울특별시 강남구 도곡동 423-15 ,19920106456,한식,냉면,330.1,도곡2동,상수도전용,  02-0571-1666
강남구,2021,80,2010-02-10,2021-11-16,홀리차우 도곡점,서울특별시 강남구 도곡동 464-0 지상1층 ,20060107199,중국식,몽골리안 쉐프,551.53,도곡2동,상수도전용,  02- 556-4502
강남구,2021,81,2010-02-10,2021-11-16,(주)타워차이,서울특별시 강남구 도곡동 467-29 타워팰리스스포츠클럽지상1층 ,20040105896,중국식,샥스핀,426.44,도곡2동,상수도전용,
강남구,2021,82,2011-07-01,2021-11-16,(주)도곡본점 해우리,서울특별시 강남구 도곡동 942-1 꿈이룸 명진타워 ,20190105047,한식,한식,471.26,도곡1동,상수도전용,  02-501 -4997
강남구,2021,83,2014-09-01,2021-11-16,무화잠,서울특별시 강남구 도곡동 943 뱅뱅빌딩 ,20200108371,한식,한식,474.65,도곡1동,상수도전용,
강남구,2021,84,2016-11-25,2021-11-16,남순남순대국 본점,서울특별시 강남구 도곡동 945-2 ,20090107730,한식,순대국밥,158.67,도곡1동,상수도전용,  02-574 -3227
강남구,2021,85,2013-07-10,2021-11-16,금강수림,서울특별시 강남구 도곡동 953-1 양재SK허브프리모 지하2층 ,20110107335,한식,장어,284.81,도곡1동,상수도전용,  02-577-9992
강남구,2021,86,2014-10-06,2021-11-16,잰부닥,서울특별시 강남구 도곡동 954-13 지상1층 ,20040108827,한식,삼겹살,236.87,도곡1동,상수도전용,  02- 577-5046
강남구,2021,87,2018-10-01,2021-11-16,답다(DAPDA),서울특별시 강남구 도곡동 955-7 ,20200106208,한식,한식,93.38,도곡1동,상수도전용,
강남구,2021,88,2016-11-25,2021-11-16,신촌설렁탕 강남구청역점,서울특별시 강남구 삼성동 1-4 지하1층 ,20020106648,한식,설렁탕,88.3,삼성1동,상수도전용,  02- 545-1551
강남구,2021,89,2014-10-06,2021-11-16,차이나타운,서울특별시 강남구 삼성동 38-18 수목빌딩 지상1층 A동 103호,19940106067,중국식,자장면,37.87,삼성1동,상수도전용,  02- 539-3222
강남구,2021,90,2010-02-10,2021-11-16,스시히로바,서울특별시 강남구 삼성동 70 블래스톤리조트 ,20020105866,일식,초밥,216.56,삼성1동,상수도전용,  02- 515-5511
강남구,2021,91,2010-02-10,2021-11-16,오발탄(주)오발탄에프에스,"서울특별시 강남구 삼성동 71-14 지상1,2층 ",19990105711,한식,양대창구이,660.82,삼성1동,상수도전용,  02- 543-8656
강남구,2021,92,2010-02-10,2021-11-16,주식회사곰바우,서울특별시 강남구 삼성동 76-10 ,19840105491,한식,양대창구이,90.09,삼성1동,상수도전용,  02- 549-7513
강남구,2021,93,2010-02-10,2021-11-16,지호한방삼계탕,서울특별시 강남구 삼성동 76-13 ,20060106827,한식,삼계탕,156.42,삼성1동,상수도전용,  02- 512-7283
강남구,2021,94,2016-11-25,2021-11-16,일공,서울특별시 강남구 삼성동 101-9 ,20130105421,중국식,자장면,139.5,삼성1동,상수도전용,
강남구,2021,95,2016-11-25,2021-11-16,삼환,서울특별시 강남구 삼성동 107-5 외2필지 ,19820105221,한식,고기 구이,212.33,삼성1동,상수도전용,  02- 546-2429
강남구,2021,96,2016-11-25,2021-11-16,수담,서울특별시 강남구 삼성동 113-0 에이치에스타워 지하1층 1호,20140106822,한식,한정식,766.19,삼성1동,상수도전용,
강남구,2021,97,2013-07-10,2021-11-16,홍백,"서울특별시 강남구 삼성동 119-9 지상1,2층 ",20110108200,한식,한우구이,678.21,삼성2동,상수도전용,
강남구,2021,98,2016-11-25,2021-11-16,대도식당,서울특별시 강남구 삼성동 127-3 ,20020107502,한식,한구 구이,726.9,삼성1동,상수도전용,  02 - 561-2283
강남구,2021,99,2011-12-30,2021-11-16,해초록 사랑,서울특별시 강남구 삼성동 127-8 지하1층 ,20070107044,일식,활어회,322.5,삼성2동,상수도전용,  02-553-5570
강남구,2021,100,2016-11-25,2021-11-16,시골진지상,서울특별시 강남구 삼성동 127-9 ,19960106815,한식,보리굴비정식,136.8,삼성2동,상수도전용,  02- 555-3448
강남구,2021,101,2014-10-06,2021-11-16,신촌설렁탕,서울특별시 강남구 삼성동 140 지상2층 ,20100107871,한식,설렁탕,209.99,삼성2동,상수도전용,
강남구,2021,102,2016-11-25,2021-11-16,아오끼,서울특별시 강남구 삼성동 140-17 지상1층 ,20010107346,일식,회정식,314.05,삼성2동,상수도전용,  02- 569-1586
강남구,2021,103,2016-11-25,2021-11-16,더드림,서울특별시 강남구 삼성동 140-25 ,20120107489,한식,김치찌개,110.3,삼성1동,상수도전용,  02-536 -8153
강남구,2021,104,2012-07-06,2021-11-16,평가옥,서울특별시 강남구 삼성동 143-1 지상1층 ,20070105034,한식,냉면,215.02,삼성2동,상수도전용,
강남구,2021,105,2016-11-25,2021-11-16,수림복국,서울특별시 강남구 삼성동 143-22 마룡빌딩지상1층 ,20030107566,한식,복어정식,148.76,삼성2동,상수도전용,  02- 569-2209
강남구,2021,106,2010-02-10,2021-11-16,남도구들 한정식,서울특별시 강남구 삼성동 144-22 ,19940107472,한식,해초남도음식,357.2,삼성2동,상수도전용,  02- 562-8800
강남구,2021,107,2016-11-25,2021-11-16,주)봉산집,서울특별시 강남구 삼성동 145-19 ,20110107948,한식,차돌박이,452.95,삼성1동,상수도전용,
강남구,2021,108,2016-11-25,2021-11-16,황소곱창,서울특별시 강남구 삼성동 145-29 지상1층 ,20110106692,한식,한우곱창,99,삼성1동,상수도전용,
강남구,2021,109,2009-06-01,2021-11-16,흑돈가,서울특별시 강남구 삼성동 147-15 신정인터네셔널 ,20200106387,한식,한식,"1,002.85",삼성1동,상수도전용,  02-2051-0008
강남구,2021,110,2016-11-25,2021-11-16,바오바오,서울특별시 강남구 삼성동 147-2 ,20140107689,중국식,팔보채,285.15,삼성1동,상수도전용,
강남구,2021,111,2016-11-25,2021-11-16,삼성동 명인등심,서울특별시 강남구 삼성동 148-15 지상2층 ,20020105674,한식,한우특등심,264,삼성1동,상수도전용,  02- 564-9049
강남구,2021,112,2010-02-10,2021-11-16,아야진생태찌개,서울특별시 강남구 삼성동 150-2 (101호) ,20070106848,한식,생태찌개,185.42,삼성1동,상수도전용,  02-555 -2680
